case_id,profile_id,profile_name,profile_summary,source,title,url,canonical_opportunity_id,external_id,source_hash,snapshot_source_type,fidelity_classification,issue_group,primary_issue,ambiguity_reason,diagnostic_candidate_count,human_label,human_expected_section,human_notes,current_benchmark_label,current_effective_section,score,raw_match_label,raw_product_section,inventory_model,opportunity_kind,market_count_policy,availability_basis,source_category,expertise,department,location,language,language_locale,required_languages,commitment,employment_type,profile_or_opportunity_kind,missing_fields,suspicious_fields,internal_inconsistencies,similar_live_candidates_count,exact_stable_live_match_available,unsafe_title_or_similarity_candidates,candidate_summary_for_diagnostics,why_review,reviewer_should_decide,matching_changes_blocked_until_review,review_decision,proposed_inventory_model,proposed_opportunity_kind,proposed_market_count_policy,proposed_availability_basis,proposed_source_category,proposed_expertise,proposed_department,proposed_location,proposed_language,proposed_language_locale,proposed_required_languages,proposed_canonical_opportunity_id,proposed_url,proposed_external_id,proposed_source_hash,proposed_enrichment_notes
portuguese_english_reviewer_010,portuguese_english_reviewer,Portuguese-English AI Reviewer,"Portuguese native, advanced English, reviewer/search quality/AI evaluation background, prefers remote flexible work.",DataAnnotation,Bilingual AI Trainer,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,DataAnnotation Bilingual / evergreen archetype issues,dataannotation_bilingual_evergreen_archetype_gap,,0,plausible,also_worth_reviewing,"Matcher under-ranked this as explore_only. Bilingual AI training is relevant to a Portuguese-English reviewer because it may involve language evaluation, translation judgment, and response review. However, it is a broad evergreen application rather than a specific live Portuguese-English reviewer role, so it should be also_worth_reviewing rather than best_matches.",weak,explore_only,8,Possible,explore_only,evergreen_application,live_posting,report_separately,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,availability_basis; language; opportunity_kind; taxonomy,evergreen_application snapshot has opportunity_kind=live_posting; evergreen_application snapshot has availability_basis=api_feed; DataAnnotation Bilingual fixture lacks structured language metadata,0,no,no,,"Bilingual DataAnnotation evergreen archetype is human-labeled as useful, but the snapshot still carries live-posting/api-feed defaults and lacks structured language/taxonomy fields.","Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,,,,,,,,,,,,,,,,,
multilingual_translator_010,multilingual_translator,Multilingual Translator / Linguist,"Multilingual profile with translation, language review, localization, or linguistic evaluation experience.",DataAnnotation,Bilingual AI Trainer,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,DataAnnotation Bilingual / evergreen archetype issues,dataannotation_bilingual_evergreen_archetype_gap,,0,plausible,also_worth_reviewing,"Evergreen bilingual AI training opportunity is relevant to a multilingual translator profile, but it is broad and not a live task-specific posting.",weak,explore_only,8,Possible,explore_only,evergreen_application,live_posting,report_separately,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,availability_basis; language; opportunity_kind; taxonomy,evergreen_application snapshot has opportunity_kind=live_posting; evergreen_application snapshot has availability_basis=api_feed; DataAnnotation Bilingual fixture lacks structured language metadata,0,no,no,,"Bilingual DataAnnotation evergreen archetype is relevant to the profile, but the snapshot needs human-approved fixture-only archetype metadata.","Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,,,,,,,,,,,,,,,,,
beginner_bilingual_no_degree_005,beginner_bilingual_no_degree,Beginner Bilingual Remote Worker,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,DataAnnotation,Bilingual AI Trainer,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,DataAnnotation Bilingual / evergreen archetype issues,dataannotation_bilingual_evergreen_archetype_gap,,0,plausible,also_worth_reviewing,"Good fit for a beginner bilingual profile because it aligns with language review, data annotation, and general AI training targets. However, this is a broad evergreen application rather than a specific live English-Spanish role, so also_worth_reviewing is appropriate rather than best_matches.",weak,also_worth_reviewing,18,Possible,also_worth_reviewing,evergreen_application,live_posting,report_separately,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,availability_basis; language; opportunity_kind; taxonomy,evergreen_application snapshot has opportunity_kind=live_posting; evergreen_application snapshot has availability_basis=api_feed; DataAnnotation Bilingual fixture lacks structured language metadata,0,no,no,,"Broad bilingual evergreen application is plausible for this beginner profile, but structured language/taxonomy fields are missing.","Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,,,,,,,,,,,,,,,,,
lawyer_002,lawyer,Legal Expert / Lawyer,"Law/legal background, interested in legal AI training, expert review, contracts, and legal reasoning tasks.",Mercor,IP Expert,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,IP/legal metadata gaps,legal_ip_metadata_gap,,0,strong,best_matches,"Under-ranked as explore_only. IP Expert is directly legal-domain work and aligns with the profile’s law/legal background, legal reasoning, contracts, expert review, and legal AI training targets. Because IP specialization is not explicit in the profile, this should be best_matches rather than do_these_first.",weak,explore_only,6,Possible,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,"The human label treats IP Expert as legal-domain work, but the fixture snapshot lacks legal/IP structured category fields. The title is context only and must not be auto-converted into legal taxonomy.","Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,,,,,,,,,,,,,,,,,
biology_or_medicine_academic_003,biology_or_medicine_academic,Biology / Medicine Academic,"Biology, medicine, or life sciences background with advanced academic profile, interested in expert AI training tasks.",Mercor,Microbiology Specialist,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Microbiology/dermatology medical/science metadata gaps,medical_science_metadata_gap,,0,strong,best_matches,"Under-ranked as explore_only. Microbiology Specialist is a direct biology/life-sciences match for this advanced biology/medicine academic profile and aligns with STEM expert AI training and medical/scientific review targets. Specific microbiology credentials are not explicit, so best_matches is appropriate rather than do_these_first.",weak,explore_only,9,Possible,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,"The human label treats Microbiology Specialist as direct science-domain work, but the snapshot lacks structured science/medical metadata.","Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,,,,,,,,,,,,,,,,,
biology_or_medicine_academic_007,biology_or_medicine_academic,Biology / Medicine Academic,"Biology, medicine, or life sciences background with advanced academic profile, interested in expert AI training tasks.",Turing,Academic Dermatologist,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Microbiology/dermatology medical/science metadata gaps,medical_science_metadata_gap,,0,strong,best_matches,"Under-ranked as explore_only. The profile has advanced medicine/life-sciences background and medical review skills, so an Academic Dermatologist AI role is a strong medical-domain match. However, because dermatology/physician credentials are not explicit, this should be best_matches rather than do_these_first.",weak,explore_only,16,Possible,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,"The human label treats Academic Dermatologist as medical-domain work, but the snapshot lacks structured medical/credential metadata.","Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,,,,,,,,,,,,,,,,,
phd_history_researcher_011,phd_history_researcher,PhD History Researcher,"Advanced humanities researcher interested in AI training tasks that need source analysis, writing, and expert review.",Turing,Academic Dermatologist,,,,,fixture_snapshot_fields,product_policy_not_represented,Product-policy-not-represented cases,professional_domain_gate_not_represented,,0,false_positive,exclude,"Correct false positive. The profile is an academic humanities/history researcher, but the role requires specialized medical/dermatology expertise. The word “Academic” should not override the medical-specialty mismatch, so this should be excluded rather than shown as a personalized match.",weak,explore_only,0,Possible,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,"The human label excludes a medical-specialty role for a humanities profile. That product policy is not represented by current structured fixture fields, so matching changes should wait for explicit metadata or gate design.",Decide whether future matcher work needs explicit policy/gate metadata before tuning.,yes,,,,,,,,,,,,,,,,,
generalist_no_degree_013,generalist_no_degree,Generalist Remote Starter,"No college degree, intermediate/advanced English, wants remote flexible work, good at web research and basic writing.",Meridial,Pavement Condition Index (PCI) Survey & Annotation Specialist - Freelance AI Trainer Project,,,,,fixture_snapshot_fields,ambiguous_identity,Ambiguous identity cases,unsafe_meridial_pci_title_variants,8 title/source diagnostic only candidates exist; no stable representative row was selected.,8,weak,explore_only,"Exact Meridial country-specific variant is ambiguous, but PCI survey/annotation appears specialized and should not be prioritized for a generalist no-degree profile.",plausible,best_matches,25,Medium,best_matches,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,8,no,yes,Pavement Condition Index (PCI) Survey & Annotation Specialist – Freelance AI Trainer Project [World Wide - Remote] (job_id=132; external_id=4775898101; source_hash=6f4272ef0e52a6537d6b5e7d2e8f287d8e60f12575fc64c456125aaa1f91b62b; canonical_opportunity_id=1032; url=https://job-boards.eu.greenhouse.io/agency/jobs/4775898101) | Pavement Condition Index (PCI) Survey & Annotation Specialist – Freelance AI Trainer Project [Poland] (job_id=133; external_id=4781816101; source_hash=aee39f3f046427d78d8678c2612d9320e3e6d5172f4d9f1a7a2998c8c4e5a913; canonical_opportunity_id=1032; url=https://job-boards.eu.greenhouse.io/agency/jobs/4781816101) | Pavement Condition Index (PCI) Survey & Annotation Specialist – Freelance AI Trainer Project [Hungary] (job_id=134; external_id=4781817101; source_hash=2642e6ad9709df8484bfff334df04beb89617e36ef16f1a47dff7df071a9b6ce; canonical_opportunity_id=1032; url=https://job-boards.eu.greenhouse.io/agency/jobs/4781817101) | Pavement Condition Index (PCI) Survey & Annotation Specialist – Freelance AI Trainer Project [Serbia] (job_id=135; external_id=4781818101; source_hash=90ff2eb137177d424487398fba5b32504d19a56967c627c5d9b57fd3d36d23be; canonical_opportunity_id=1032; url=https://job-boards.eu.greenhouse.io/agency/jobs/4781818101) | Pavement Condition Index (PCI) Survey & Annotation Specialist – Freelance AI Trainer Project [Greece] (job_id=136; external_id=4781822101; source_hash=f0b0c3d9e84538c47d9033b0c80e504df428361be04d5e5aae4241ef54d3b1b1; canonical_opportunity_id=1032; url=https://job-boards.eu.greenhouse.io/agency/jobs/4781822101) | Pavement Condition Index (PCI) Survey & Annotation Specialist – Freelance AI Trainer Project [Croatia] (job_id=137; external_id=4781823101; source_hash=757ba72051907fe71a63019f3d781fdad12a22f5be00000f0d7410d53af0deab; canonical_opportunity_id=1032; url=https://job-boards.eu.greenhouse.io/agency/jobs/4781823101) | Pavement Condition Index (PCI) Survey & Annotation Specialist – Freelance AI Trainer Project [Czechia] (job_id=138; external_id=4781824101; source_hash=e8f10d81c2a733b78583da806f0be4e6e1633c1089e39ff8d52e1ed8e38e2688; canonical_opportunity_id=1032; url=https://job-boards.eu.greenhouse.io/agency/jobs/4781824101) | Pavement Condition Index (PCI) Survey & Annotation Specialist – Freelance AI Trainer Project [Slovenia] (job_id=139; external_id=4781825101; source_hash=74faf61f09b2304036d2a41d7287a3822b5466d58247c667f7db6e4666e5f772; canonical_opportunity_id=1032; url=https://job-boards.eu.greenhouse.io/agency/jobs/4781825101),Meridial PCI appears to have multiple title-only live candidates. The review batch must not select a representative row without human-approved stable identity.,"Decide whether to keep fixture-only, choose a stable representative row later, or replace the case.",yes,,,,,,,,,,,,,,,,,
phd_history_researcher_013,phd_history_researcher,PhD History Researcher,"Advanced humanities researcher interested in AI training tasks that need source analysis, writing, and expert review.",Welocalize,French Search & Data Labelling Rater - Morocco,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Location/actionability gaps,location_actionability_metadata_gap,,0,weak,explore_only,"Matcher over-ranked this as do_these_first. French and search/data-labeling signals are somewhat adjacent to the profile, but the role is not a strong history/humanities research match and may be location-restricted to Morocco while profile location is unknown. Should stay explore_only.",plausible,do_these_first,30,Medium,do_these_first,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,applicant_location_requirements; taxonomy,"title contains Morocco context, but structured applicant location requirements are missing",0,no,no,,"The title mentions Morocco, but the snapshot lacks structured applicant location requirements. The title-location clue is diagnostic only.","Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,,,,,,,,,,,,,,,,,
beginner_bilingual_no_degree_002,beginner_bilingual_no_degree,Beginner Bilingual Remote Worker,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,Welocalize,Alpheratz Project - Spanish (US) Translation Quality Reviewer,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,strong,best_matches,"Strong language-review match. The profile has English/Spanish bilingual skills and targets language review, data annotation, and AI-work entry points. Spanish (US) translation quality review is directly relevant, but because detailed requirements/location eligibility are not fully resolved, best_matches is more appropriate than do_these_first.",plausible,do_these_first,32,Medium,do_these_first,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,,,,,,,,,,,,,,,,,
